"[frozenset({'Intervencao=0'}), frozenset({'TipoPavimento=4'}), 0.843614248479583, 1.05388878421054]","[frozenset({'TipoPavimento=4'}), frozenset({'Intervencao=0'}), 0.8274392841925863, 1.05388878421054]",
"[frozenset({'Vazamento=0'}), frozenset({'Intervencao=0'}), 0.8210810810810811, 1.0457904994481886]",,
"[frozenset({'agua=1'}), frozenset({'Intervencao=0'}), 0.8288043478260869, 1.0556274317228873]",,
"[frozenset({'arbustos=0'}), frozenset({'Intervencao=0'}), 0.8095238095238095, 1.0310702908444003]",,
"[frozenset({'Intervencao=0'}), frozenset({'capimAlto=0'}), 0.8266724587315377, 1.0090772893425763]",,
"[frozenset({'floresta=0'}), frozenset({'Intervencao=0'}), 0.8316546762589927, 1.0592578239753982]",,
"[frozenset({'Intervencao=1'}), frozenset({'TipoChuva=1'}), 0.9428571428571428, 0.9965598928828922]",,
"[frozenset({'Intervencao=1'}), frozenset({'agua=0'}), 0.8, 1.0681238615664845]",,
"[frozenset({'TipoLocal=5'}), frozenset({'TipoChuva=1'}), 0.9455128205128206, 0.9993668311981219]",,
"[frozenset({'TipoLocal=6'}), frozenset({'TipoChuva=1'}), 0.9447470817120623, 0.9985574778586037]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'TipoChuva=1'}), 0.9320987654320988, 0.9851887455828816]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'TipoChuva=1'}), 0.9330024813895782, 0.9861439349078022]",,
"[frozenset({'TipoChuva=1'}), frozenset({'TipoPavimento=4'}), 0.8028118240807499, 1.0029161773347928]","[frozenset({'TipoPavimento=4'}), frozenset({'TipoChuva=1'}), 0.9488708990200255, 1.0029161773347928]",
"[frozenset({'Vazamento=0'}), frozenset({'TipoChuva=1'}), 0.9481081081081081, 1.0021099397883824]",,
"[frozenset({'Vazamento=1'}), frozenset({'TipoChuva=1'}), 0.9426987060998153, 0.9963924319699562]",,
"[frozenset({'agua=0'}), frozenset({'TipoChuva=1'}), 0.9521857923497268, 1.0064198785758467]",,
"[frozenset({'agua=1'}), frozenset({'TipoChuva=1'}), 0.9279891304347826, 0.9808450362057616]",,
"[frozenset({'arbustos=0'}), frozenset({'TipoChuva=1'}), 0.9470899470899471, 1.0010337869025685]",,
"[frozenset({'arbustos=1'}), frozenset({'TipoChuva=1'}), 0.9443378119001921, 0.9981248970769153]",,
"[frozenset({'TipoChuva=1'}), frozenset({'capimAlto=0'}), 0.8183129055515501, 0.9988732052777456]","[frozenset({'capimAlto=0'}), frozenset({'TipoChuva=1'}), 0.9450457951706911, 0.9988732052777456]",
"[frozenset({'capimAlto=1'}), frozenset({'TipoChuva=1'}), 0.9509433962264151, 1.0051067187223681]",,
"[frozenset({'floresta=0'}), frozenset({'TipoChuva=1'}), 0.953956834532374, 1.0082917948265755]",,
"[frozenset({'floresta=1'}), frozenset({'TipoChuva=1'}), 0.9390402075226978, 0.9925255545986121]",,
"[frozenset({'vegetacaoBaixa=0'}), frozenset({'TipoChuva=1'}), 0.942296918767507, 0.9959677598508762]",,
"[frozenset({'vegetacaoBaixa=1'}), frozenset({'TipoChuva=1'}), 0.9520488230165649, 1.0062751078170757]",,
"[frozenset({'TipoChuva=2'}), frozenset({'capimAlto=0'}), 0.8513513513513513, 1.0392015662623488]",,
"[frozenset({'TipoLocal=5'}), frozenset({'TipoPavimento=4'}), 0.8865384615384616, 1.1075120448362885]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'TipoLocal=6'}), 0.8580246913580246, 1.9577652879857808]",,
"[frozenset({'TipoLocal=6'}), frozenset({'capimAlto=0'}), 0.863035019455253, 1.0534632294099924]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'Vazamento=1'}), 0.808641975308642, 2.191255334200498]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'agua=0'}), 0.8703703703703703, 1.1620792012413141]",,
"[frozenset({'TipoPavimento=1'}), frozenset({'capimAlto=0'}), 0.9814814814814815, 1.198044839177229]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'agua=0'}), 0.8709677419354839, 1.162876784769963]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'capimAlto=0'}), 0.9478908188585609, 1.1570424150263532]",,
"[frozenset({'TipoPavimento=2'}), frozenset({'floresta=1'}), 0.8808933002481389, 1.6749540572811565]",,
"[frozenset({'Vazamento=0'}), frozenset({'TipoPavimento=4'}), 0.8702702702702703, 1.087188935846797]",,
"[frozenset({'agua=1'}), frozenset({'TipoPavimento=4'}), 0.9008152173913042, 1.1253473444360051]",,
"[frozenset({'arbustos=0'}), frozenset({'TipoPavimento=4'}), 0.8222222222222223, 1.0271647019836199]",,
"[frozenset({'capimAlto=1'}), frozenset({'TipoPavimento=4'}), 0.9509433962264151, 1.1879701907694287]",,
