SE;E;ENTÃO;CONFIDENCE;LIFT
[({'Mamifero=1'; 'Vazamento=0'}); ({'TipoChuva=1'}); 0.9711538461538461; 1.0162284972411555]
[({'TipoChuva=1'; 'Mamifero=1'}); ({'Vazamento=1'}); 0.8249566724436742; 0.9887519360420356]
[({'Mamifero=1'; 'agua=0'}); ({'TipoChuva=1'}); 0.9459745762711864; 0.9898805692626761]
[({'Mamifero=1'; 'agua=1'}); ({'TipoChuva=1'}); 0.9456521739130436; 0.9895432030820034]
[({'Mamifero=1'; 'arbustos=0'}); ({'TipoChuva=1'}); 0.9519595448798989; 0.9961433212245355]
[({'Mamifero=1'; 'arbustos=1'}); ({'TipoChuva=1'}); 0.9347319347319346; 0.9781161173566235]
[({'TipoChuva=1'; 'Mamifero=1'}); ({'capimAlto=0'}); 0.8908145580589256; 1.0145672119339313]
[({'Mamifero=1'; 'capimAlto=1'}); ({'TipoChuva=1'}); 0.9333333333333332; 0.9766526019690576]
[({'Mamifero=1'; 'floresta=0'}); ({'TipoChuva=1'}); 0.9538461538461539; 0.9981174943200259]
[({'Mamifero=1'; 'floresta=1'}); ({'TipoChuva=1'}); 0.9411764705882353; 0.9848597666914867]
[({'Mamifero=1'; 'vegetacaoBaixa=0'}); ({'TipoChuva=1'}); 0.9418439716312056; 0.9855582487955231]
[({'Mamifero=1'; 'vegetacaoBaixa=1'}); ({'TipoChuva=1'}); 0.9514563106796116; 0.9956167301626314]
[({'Mamifero=1'; 'TipoLocal=5'}); ({'Vazamento=1'}); 0.8433931484502447; 1.010848976958489]
[({'Mamifero=1'; 'TipoLocal=5'}); ({'capimAlto=0'}); 0.8548123980424144; 0.9735636037406142]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'TipoLocal=6'}); 0.8920863309352517; 2.509308998925623]
[({'Mamifero=1'; 'TipoLocal=6'}); ({'Vazamento=1'}); 0.8136200716845878; 0.9751644516042421]
[({'Mamifero=1'; 'TipoLocal=6'}); ({'agua=0'}); 0.8225806451612904; 1.1097008159564825]
[({'Mamifero=1'; 'TipoLocal=6'}); ({'capimAlto=0'}); 0.9301075268817205; 1.0593187906620742]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'Vazamento=1'}); 0.9352517985611511; 1.1209461749971752]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'agua=0'}); 0.920863309352518; 1.242288852508202]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'capimAlto=0'}); 1.0; 1.1389207807118256]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'floresta=1'}); 0.8561151079136691; 1.6228016313064197]
[({'Mamifero=1'; 'TipoPavimento=2'}); ({'Vazamento=1'}); 0.8340080971659919; 0.9996005224188449]
[({'Mamifero=1'; 'TipoPavimento=2'}); ({'agua=0'}); 0.9028340080971661; 1.217966458792913]
[({'Mamifero=1'; 'TipoPavimento=2'}); ({'capimAlto=0'}); 0.9757085020242915; 1.1112546888726718]
[({'Mamifero=1'; 'TipoPavimento=2'}); ({'floresta=1'}); 0.9352226720647774; 1.7727532943087754]
[({'Mamifero=1'; 'TipoPavimento=4'}); ({'Vazamento=1'}); 0.8202933985330074; 0.9831627684390778]
[({'Mamifero=1'; 'agua=1'}); ({'TipoPavimento=4'}); 0.8731884057971014; 1.204174557762824]
[({'Mamifero=1'; 'TipoPavimento=4'}); ({'capimAlto=0'}); 0.8447432762836186; 0.9620956717260041]
[({'Mamifero=1'; 'capimAlto=1'}); ({'TipoPavimento=4'}); 0.9407407407407407; 1.297332921429307]
[({'Mamifero=1'; 'floresta=0'}); ({'TipoPavimento=4'}); 0.9098901098901098; 1.2547882145657863]
[({'Mamifero=1'; 'Vazamento=0'}); ({'arbustos=0'}); 0.8990384615384616; 1.3350990327038232]
[({'Mamifero=1'; 'Vazamento=0'}); ({'capimAlto=0'}); 0.9471153846153847; 1.0786893932703348]
[({'Mamifero=1'; 'agua=0'}); ({'Vazamento=1'}); 0.8315677966101696; 0.9966756998436829]
[({'Mamifero=1'; 'agua=1'}); ({'Vazamento=1'}); 0.822463768115942; 0.9857640652086361]
[({'Mamifero=1'; 'arbustos=1'}); ({'Vazamento=1'}); 0.9510489510489509; 1.1398798543381707]
[({'Vazamento=1'; 'Mamifero=1'}); ({'capimAlto=0'}); 0.8774703557312254; 0.9993692226008905]
[({'Mamifero=1'; 'capimAlto=1'}); ({'Vazamento=1'}); 0.9185185185185184; 1.1008904998433793]
[({'Mamifero=1'; 'floresta=0'}); ({'Vazamento=1'}); 0.8813186813186813; 1.0563046297238805]
[({'Mamifero=1'; 'vegetacaoBaixa=1'}); ({'Vazamento=1'}); 0.8834951456310679; 1.0589132313322827]
[({'Mamifero=1'; 'agua=0'}); ({'capimAlto=0'}); 0.9194915254237289; 1.0472280059935006]
[({'Mamifero=1'; 'floresta=1'}); ({'agua=0'}); 0.8588235294117647; 1.1585942083088903]
[({'Mamifero=1'; 'vegetacaoBaixa=0'}); ({'agua=0'}); 0.8212765957446808; 1.1079415906328967]
[({'Mamifero=1'; 'arbustos=0'}); ({'capimAlto=0'}); 0.8584070796460176; 0.9776576613190004]
[({'Mamifero=1'; 'capimAlto=1'}); ({'arbustos=0'}); 0.8296296296296296; 1.232024839210468]
[({'Mamifero=1'; 'arbustos=1'}); ({'capimAlto=0'}); 0.9463869463869462; 1.0778597598345012]
[({'Mamifero=1'; 'floresta=1'}); ({'capimAlto=0'}); 0.9503267973856209; 1.0823469380098]
[({'Mamifero=1'; 'vegetacaoBaixa=0'}); ({'capimAlto=0'}); 0.8709219858156029; 0.9919111480241998]
[({'Mamifero=1'; 'vegetacaoBaixa=1'}); ({'capimAlto=0'}); 0.9145631067961164; 1.0416149276024655]
[({'Mamifero=1'; 'vegetacaoBaixa=0'}); ({'floresta=1'}); 0.8439716312056736; 1.5997831684510093]
[({'Vazamento=1'; 'Mamifero=1'}); ({'TipoChuva=1'}); 0.9407114624505929; 0.9843731758976668]
[({'capimAlto=0'; 'Mamifero=1'}); ({'TipoChuva=1'}); 0.9474654377880185; 0.9914406268836649]
[({'capimAlto=0'; 'Mamifero=1'}); ({'Vazamento=1'}); 0.8184331797235024; 0.9809332029227318]
[({'capimAlto=0'; 'Mamifero=1'}); ({'agua=0'}); 0.8; 1.0792384406165005]
