SE;E;ENTÃO;CONFIDENCE;LIFT
[({'Mamifero=1'});; ({'TipoChuva=1'}); 0.9459016393442622; 0.9898042470775401]
[({'Mamifero=1'});; ({'Vazamento=1'}); 0.8295081967213114; 0.9942071661065738]
[({'Mamifero=1'});; ({'capimAlto=0'}); 0.8893442622950819; 1.0128926615346971]
[({'Mamifero=1'; 'FaixaKm=1'}); ({'Intervencao=0'}); 0.9727272727272728; 1.2542618559949583]
[({'Mamifero=1'; 'FaixaKm=1'}); ({'TipoChuva=1'}); 0.9818181818181818; 1.0273878020713463]
[({'Mamifero=1'; 'FaixaKm=1'}); ({'TipoPavimento=4'}); 0.9727272727272728; 1.3414440980706042]
[({'Mamifero=1'; 'FaixaKm=1'}); ({'Vazamento=1'}); 0.9545454545454546; 1.144070589096767]
[({'Mamifero=1'; 'FaixaKm=1'}); ({'capimAlto=0'}); 0.8636363636363635; 0.9836134015238491]
[({'Mamifero=1'; 'FaixaKm=1'}); ({'floresta=0'}); 0.9636363636363636; 2.03967412388465]
[({'Mamifero=1'; 'FaixaKm=1'}); ({'vegetacaoBaixa=1'}); 0.8272727272727273; 1.6380330248593722]
[({'Mamifero=1'; 'FaixaKm=2'}); ({'TipoChuva=1'}); 0.9782608695652174; 1.0236653824986242]
[({'Mamifero=1'; 'FaixaKm=2'}); ({'TipoPavimento=4'}); 0.9782608695652174; 1.3490752306886409]
[({'FaixaKm=3'; 'Mamifero=1'}); ({'Intervencao=0'}); 0.9514563106796117; 1.2268344803217177]
[({'FaixaKm=3'; 'Mamifero=1'}); ({'TipoChuva=1'}); 0.9320388349514563; 0.9752980213838024]
[({'FaixaKm=3'; 'Mamifero=1'}); ({'TipoPavimento=4'}); 0.9805825242718447; 1.3522769194777617]
[({'Mamifero=1'; 'FaixaKm=4'}); ({'Intervencao=0'}); 0.8554216867469879; 1.1030047399302583]
[({'Mamifero=1'; 'FaixaKm=4'}); ({'TipoChuva=1'}); 0.9216867469879518; 0.9644654567637639]
[({'Mamifero=1'; 'FaixaKm=4'}); ({'TipoPavimento=4'}); 0.9216867469879518; 1.2710564221668883]
[({'Mamifero=1'; 'FaixaKm=4'}); ({'Vazamento=1'}); 0.8253012048192772; 0.9891648753693792]
[({'Mamifero=1'; 'FaixaKm=4'}); ({'agua=0'}); 0.8795180722891566; 1.186512141039225]
[({'Mamifero=1'; 'FaixaKm=4'}); ({'capimAlto=0'}); 0.9337349397590362; 1.0634501265682708]
[({'Mamifero=1'; 'FaixaKm=4'}); ({'floresta=1'}); 0.8554216867469879; 1.621487222776456]
[({'Mamifero=1'; 'FaixaKm=5'}); ({'TipoChuva=1'}); 0.934826883910387; 0.9782154734589704]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'FaixaKm=5'}); 0.8201438848920863; 2.508477082670965]
[({'Mamifero=1'; 'TipoPavimento=2'}); ({'FaixaKm=5'}); 0.8502024291497977; 2.6004135962485075]
[({'Mamifero=1'; 'FaixaKm=5'}); ({'Vazamento=1'}); 0.8085539714867617; 0.9690924764980277]
[({'Mamifero=1'; 'FaixaKm=5'}); ({'agua=0'}); 0.9063136456211813; 1.2226606570120742]
[({'Mamifero=1'; 'FaixaKm=5'}); ({'capimAlto=0'}); 0.9775967413441955; 1.1134052438730677]
[({'Mamifero=1'; 'FaixaKm=5'}); ({'floresta=1'}); 0.9103869653767821; 1.7256761840517856]
[({'Mamifero=1'; 'Intervencao=0'}); ({'TipoChuva=1'}); 0.9477196885428255; 0.9917066783064166]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'Intervencao=0'}); 0.841726618705036; 1.0853459346907224]
[({'Mamifero=1'; 'TipoPavimento=4'}); ({'Intervencao=0'}); 0.8215158924205379; 1.0592856567779554]
[({'Mamifero=1'; 'Intervencao=0'}); ({'Vazamento=1'}); 0.8253615127919911; 0.9892371574985765]
[({'Mamifero=1'; 'arbustos=0'}); ({'Intervencao=0'}); 0.809102402022756; 1.043279353734715]
[({'Mamifero=1'; 'Intervencao=0'}); ({'capimAlto=0'}); 0.8731924360400446; 0.9944970109663883]
[({'Mamifero=1'; 'capimAlto=1'}); ({'Intervencao=0'}); 0.8444444444444444; 1.0888503755054881]
[({'Mamifero=1'; 'floresta=0'}); ({'Intervencao=0'}); 0.8769230769230768; 1.130729236101853]
[({'Intervencao=1'; 'Mamifero=1'}); ({'TipoChuva=1'}); 0.9408099688473519; 0.9844762543212796]
[({'Intervencao=1'; 'Mamifero=1'}); ({'Vazamento=1'}); 0.8411214953271028; 1.0081262867875385]
[({'Intervencao=1'; 'Mamifero=1'}); ({'agua=0'}); 0.8006230529595016; 1.0800789689970431]
[({'Intervencao=1'; 'Mamifero=1'}); ({'capimAlto=0'}); 0.9345794392523363; 1.064411944590491]
[({'Intervencao=1'; 'Mamifero=1'}); ({'floresta=1'}); 0.8255451713395638; 1.5648550508958865]
[({'Mamifero=1'; 'TipoLocal=5'}); ({'TipoChuva=1'}); 0.9494290375203914; 0.993495364156359]
[({'Mamifero=1'; 'TipoLocal=6'}); ({'TipoChuva=1'}); 0.939068100358423; 0.982653539615565]
[({'Mamifero=1'; 'TipoPavimento=1'}); ({'TipoChuva=1'}); 0.9424460431654677; 0.9861882645782108]
[({'Mamifero=1'; 'TipoPavimento=2'}); ({'TipoChuva=1'}); 0.9149797570850203; 0.957447171970823]
[({'Mamifero=1'; 'TipoPavimento=4'}); ({'TipoChuva=1'}); 0.9547677261613693; 0.9990818400338378]
